Party voted for in last national election, Netherlands
1,Christian Democratic Party
2,Labour Party
3,Party for Freedom and Democracy
4,List Pim Fortuyn
5,Democrats '66
6,Green Left
7,Socialist Party
8,Christian Union
9,Liveable Netherlands
10,Social Reformed Party
11,Other
66,Not applicable
77,Refusal
88,Don't know
99,No answer
